year,region,sector,consumption,units
1990,SLO County,Residential,487.0202239,GWh
1990,SLO County,Non-Residential,659.25213479,GWh
1991,SLO County,Residential,493.9153811,GWh
1991,SLO County,Non-Residential,629.1163649,GWh
1992,SLO County,Residential,483.4628305,GWh
1992,SLO County,Non-Residential,635.577119984,GWh
1993,SLO County,Residential,493.6682027,GWh
1993,SLO County,Non-Residential,659.732818639,GWh
1994,SLO County,Residential,493.1226748,GWh
1994,SLO County,Non-Residential,670.952133069,GWh
1995,SLO County,Residential,505.7627623,GWh
1995,SLO County,Non-Residential,677.441090688,GWh
1996,SLO County,Residential,524.9694284,GWh
1996,SLO County,Non-Residential,702.766533918,GWh
1997,SLO County,Residential,538.6576413,GWh
1997,SLO County,Non-Residential,740.111989418,GWh
1998,SLO County,Residential,561.1331475,GWh
1998,SLO County,Non-Residential,718.310353037,GWh
1999,SLO County,Residential,586.1232226,GWh
1999,SLO County,Non-Residential,790.899096807,GWh
2000,SLO County,Residential,599.9828717,GWh
2000,SLO County,Non-Residential,824.821917771,GWh
2001,SLO County,Residential,625.8048239,GWh
2001,SLO County,Non-Residential,858.616927182,GWh
2002,SLO County,Residential,542.00868,GWh
2002,SLO County,Non-Residential,921.326692862,GWh
2003,SLO County,Residential,624.7231123,GWh
2003,SLO County,Non-Residential,924.475149078,GWh
2004,SLO County,Residential,636.5162178,GWh
2004,SLO County,Non-Residential,946.836119219,GWh
2005,SLO County,Residential,650.6889526,GWh
2005,SLO County,Non-Residential,916.713187362,GWh
2006,SLO County,Residential,681.7610997,GWh
2006,SLO County,Non-Residential,904.991635134,GWh
2007,SLO County,Residential,670.6107869,GWh
2007,SLO County,Non-Residential,1078.094064622,GWh
2008,SLO County,Residential,671.8499768,GWh
2008,SLO County,Non-Residential,1049.935145551,GWh
2009,SLO County,Residential,666.5106389,GWh
2009,SLO County,Non-Residential,1018.913224458,GWh
2010,SLO County,Residential,654.6782387,GWh
2010,SLO County,Non-Residential,993.964809983,GWh
2011,SLO County,Residential,653.1517598,GWh
2011,SLO County,Non-Residential,1011.308184988,GWh
2012,SLO County,Residential,661.3478515,GWh
2012,SLO County,Non-Residential,1043.683905764,GWh
2013,SLO County,Residential,657.8541053,GWh
2013,SLO County,Non-Residential,1086.445645742,GWh
2014,SLO County,Residential,625.9140559,GWh
2014,SLO County,Non-Residential,1079.066625401,GWh
2015,SLO County,Residential,624.0416082,GWh
2015,SLO County,Non-Residential,1062.224910139,GWh
2016,SLO County,Residential,619.2722422,GWh
2016,SLO County,Non-Residential,1083.25918366,GWh
2017,SLO County,Residential,629.1702733,GWh
2017,SLO County,Non-Residential,1098.757703619,GWh
2018,SLO County,Residential,616.9688263,GWh
2018,SLO County,Non-Residential,1106.548573178,GWh
2019,SLO County,Residential,604.5046975,GWh
2019,SLO County,Non-Residential,1050.709955399,GWh
2020,SLO County,Residential,649.1959577,GWh
2020,SLO County,Non-Residential,977.144526194,GWh
2021,SLO County,Residential,634.8553407,GWh
2021,SLO County,Non-Residential,1007.529966131,GWh
2022,SLO County,Residential,653.9045459,GWh
2022,SLO County,Non-Residential,1034.181468315,GWh
2023,SLO County,Residential,655.5480443,GWh
2023,SLO County,Non-Residential,945.815805303,GWh
2024,SLO County,Residential,687.7068542,GWh
2024,SLO County,Non-Residential,993.682001273,GWh
